train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
67099,1234,448,54,0.45,3.73549747467041,-0.967431366443634,0.0003,0.0021108612418174744,67200,150.0,0.0010129056172445416,-9.729348810000001
67699,1246,452,54,0.45,3.685803174972534,0.3987753391265869,0.0003,0.0015626829117536545,67800,150.0,0.001023078802973032,-9.7189376
68299,1258,456,54,0.44,3.6970601081848145,0.888435959815979,0.0003,0.0021913161035627127,68400,150.0,0.001040229108184576,-9.74996833
68899,1270,460,54,0.46,3.7133922576904297,-5.063137054443359,0.0003,0.0015933350659906864,69000,150.0,0.0010338550200685859,-9.53623633
69499,1282,464,54,0.45,3.744690418243408,-1.5714833736419678,0.0003,0.002022932516410947,69600,150.0,0.0010223186109215021,-9.39772873
70099,1295,468,54,0.46,3.871199369430542,0.7306627631187439,0.0003,0.0016865305369719863,70200,150.0,0.001009556232020259,-9.14784526
70699,1307,472,54,0.43,3.7015585899353027,-2.286268949508667,0.0003,0.0014732165727764368,70800,150.0,0.0010070397984236479,-9.26355278
71299,1319,476,54,0.42,3.869617462158203,-1.4643099308013916,0.0003,0.0022472115233540535,71400,150.0,0.0010247447062283754,-9.335946380000001
71899,1330,480,54,0.41,3.809645414352417,0.6388605833053589,0.0003,0.0018975730054080486,72000,150.0,0.0010106525151059031,-9.100235909999999
72499,1342,484,54,0.42,3.8816423416137695,-1.4125323295593262,0.0003,0.00172371044754982,72600,150.0,0.0010267196921631694,-9.101045059999999
73099,1354,488,54,0.44,4.0995259284973145,-0.2901892364025116,0.0003,0.0016700653359293938,73200,150.0,0.0009849010966718197,-8.859982229999998
73699,1365,492,54,0.42,4.027979373931885,-0.2852112352848053,0.0003,0.0017897796351462603,73800,150.0,0.0009805497247725725,-8.95782017
74299,1377,496,54,0.45,4.046762466430664,-3.0124306678771973,0.0003,0.003305127378553152,74400,150.0,0.0009933923138305545,-8.48542077
74899,1390,500,53,0.46,4.175547122955322,2.0841352939605713,0.0003,0.0020978758111596107,75000,150.0,0.0009873283561319113,-8.665707249999999
75499,1402,504,53,0.47,3.9447245597839355,0.3880402445793152,0.0003,0.0020644650794565678,75600,150.0,0.000976459588855505,-8.574552379999998
76099,1414,508,53,0.45,4.0515594482421875,-3.152219772338867,0.0003,0.002201054710894823,76200,150.0,0.0009939040755853057,-8.59022779
76699,1425,512,53,0.44,4.021605491638184,1.754509449005127,0.0003,0.0022640940733253956,76800,150.0,0.0009148382814601064,-8.82918764
77299,1438,516,53,0.46,4.242440223693848,2.905421018600464,0.0003,0.0021140356548130512,77400,150.0,0.001016662921756506,-8.61905807
77899,1449,520,53,0.46,4.186591148376465,0.5124959945678711,0.0003,0.0028458931483328342,78000,150.0,0.0010384222259745002,-8.59912464
78499,1462,524,53,0.44,4.120723724365234,-3.3295021057128906,0.0003,0.002377323340624571,78600,150.0,0.0010308773489668965,-8.579176339999998
79099,1475,528,53,0.46,4.132362365722656,2.177043914794922,0.0003,0.001991287572309375,79200,150.0,0.0010131987510249019,-8.092093850000001
79699,1487,532,53,0.47,4.21950101852417,-1.651780366897583,0.0003,0.0017313052667304873,79800,150.0,0.0009786695009097457,-7.829682419999999
80299,1500,536,53,0.47,4.038435935974121,-0.24076300859451294,0.0003,0.0018284015823155642,80400,150.0,0.0009591039852239192,-7.84955105
80899,1513,540,53,0.48,4.220706939697266,-1.598830223083496,0.0003,0.0024439154658466578,81000,150.0,0.0009494989644736052,-7.87613869
81499,1525,544,53,0.47,4.302733421325684,4.058530330657959,0.0003,0.002424747683107853,81600,150.0,0.0009409385966137052,-8.12070526
82099,1538,548,53,0.46,4.13494348526001,-1.6825387477874756,0.0003,0.0014488850720226765,82200,150.0,0.0009533611009828746,-8.04245627
82699,1551,552,53,0.45,4.1272101402282715,-4.128442764282227,0.0003,0.0017230059020221233,82800,150.0,0.0009208904230035841,-8.140763849999999
83299,1564,556,53,0.47,4.263034343719482,-1.0424166917800903,0.0003,0.001732301665470004,83400,150.0,0.0009185345261357725,-8.064616019999999
83899,1576,560,53,0.47,4.355314254760742,-0.0015830397605895996,0.0003,0.0017984425649046898,84000,150.0,0.0009338401141576469,-8.050709609999998
84499,1589,564,53,0.45,4.136579513549805,-2.201005458831787,0.0003,0.0015208570985123515,84600,150.0,0.0009374659857712686,-8.114149849999999
