rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range
-6.790641200000001,161792,150.0,321,79,503,0.0003,0.4641011655330658,780,-4.591607838869095,-0.006964502464688849,0.8783379346132278,0.03007165715098381,0.324560546875,0.026491197,0.0031958291099726923,0.2
-6.71760189,163840,150.0,325,80,503,0.0003,0.45502135157585144,790,-4.451284517347813,-0.0028060622738848907,0.8733850419521332,0.013584544882178307,0.334423828125,0.028615907,0.003291038038150873,0.2
-6.65737401,165888,150.0,329,81,503,0.0003,0.45109012722969055,800,-4.352481858432293,0.004754579841392115,0.912111446261406,0.05097908899188042,0.31220703125,0.027668187,0.002807532036968041,0.2
-6.57984014,167936,150.0,333,82,503,0.0003,0.4443510174751282,810,-4.267271357774734,-0.002833026276493911,0.8664072304964066,-0.005128546617925167,0.333447265625,0.027497333,0.0021379324320150773,0.2
-6.5039212299999996,169984,150.0,337,83,503,0.0003,0.4367828965187073,820,-4.1567084103822705,-0.0018677005478821228,0.8993271812796593,0.009164541028439999,0.333203125,0.027801782,0.0029819886392942864,0.2
-6.435571070000001,172032,150.0,341,84,504,0.0003,0.4312995970249176,830,-4.050802536308765,0.003910923688090406,0.9352285042405128,-0.004101849161088467,0.285302734375,0.021633647,0.002223926356964512,0.2
-6.354603569999999,174080,150.0,345,85,504,0.0003,0.42602941393852234,840,-3.969692754745483,0.00023613247176399455,0.9090557843446732,0.002555640647187829,0.3505859375,0.026740145,0.003037250800480251,0.2
-6.269842059999999,176128,150.0,349,86,504,0.0003,0.42063403129577637,850,-3.8746322259306907,0.0029117666264937723,0.9274944141507149,-0.016133343800902367,0.32724609375,0.035834625,0.0018595412679133006,0.2
-6.21242827,178176,150.0,353,87,504,0.0003,0.41457077860832214,860,-3.782593658566475,0.0006748001716914587,0.8703756183385849,0.021495390683412552,0.3662109375,0.02747802,0.002029622864210978,0.2
-6.139921189999999,180224,150.0,357,88,504,0.0003,0.40694692730903625,870,-3.6677296362817287,4.7389647806994614e-05,0.9012647569179535,-0.007880774326622486,0.34931640625,0.03223013,0.002230544664780609,0.2
-6.06859556,182272,150.0,361,89,504,0.0003,0.40028828382492065,880,-3.5435039676725864,0.0035339960231794976,0.8817838951945305,0.00749965338036418,0.3359375,0.033120424,0.0019188326132280054,0.2
-6.0020403300000025,184320,150.0,365,90,504,0.0003,0.39407873153686523,890,-3.428355663269758,0.004312670449144207,0.8460651338100433,-0.03125068545341492,0.3515625,0.0351403,0.0026515689485677287,0.2
-5.957072679999999,186368,150.0,369,91,504,0.0003,0.39019250869750977,900,-3.3374677784740925,0.00228641432186123,0.8615810871124268,0.05855311080813408,0.373291015625,0.033363275,0.002391364092727599,0.2
-5.89791926,188416,150.0,373,92,504,0.0003,0.3847699761390686,910,-3.2556003488600256,0.008980892325052992,0.8722505271434784,-0.013491750694811344,0.35322265625,0.02798627,0.001700162021734286,0.2
-5.854304620000001,190464,150.0,377,93,504,0.0003,0.3787267506122589,920,-3.1519673131406307,0.002710381390352268,0.9182944819331169,-0.003211174625903368,0.3865234375,0.041896053,0.0018074526389682433,0.2
-5.8379568,192512,150.0,381,94,504,0.0003,0.3714323937892914,930,-3.027343890815973,0.008071842689241748,0.8958672061562538,0.03328431397676468,0.388818359375,0.040156662,0.0019094545095867943,0.2
-5.796592859999999,194560,150.0,385,95,504,0.0003,0.3671068549156189,940,-2.9261436343193052,0.005456523339671548,0.8960615396499634,0.05278146266937256,0.379052734375,0.055832237,0.0020910350780468435,0.2
-5.76256532,196608,150.0,390,96,504,0.0003,0.3596248924732208,950,-2.807688445597887,0.005938668576709461,0.902760699391365,-0.016464482992887497,0.346728515625,0.028182205,0.0017858460974821354,0.2
-5.79468256,198656,150.0,393,97,504,0.0003,0.3512383997440338,960,-2.6523457042872907,0.0007705737400101498,0.8522296398878098,-0.006667683832347393,0.388330078125,0.046468735,0.0016835530164826195,0.2
-5.72943719,200704,150.0,398,98,504,0.0003,0.3505077064037323,970,-2.577384754270315,0.016099997895071282,0.33603179454803467,0.07200727611780167,0.4970703125,0.058502432,0.14770793096831766,0.2
