time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/std
303,739328,451,150.0,-104.19795856,67,0.0003,-0.17835301496088504,34.86843105480075,0.2,3600,0.30662882,0.56591796875,0.9266458824276924,3.135667324066162,0.010977222587098368,0.2491575926542282
308,741376,450,150.0,-108.39407750000002,68,0.0003,-0.21256959736347197,41.719947384297846,0.2,3610,0.14067256,0.58525390625,0.9005855619907379,3.1080808639526367,0.02559523402742343,0.25108566880226135
313,743424,451,150.0,-103.84851138,69,0.0003,-0.24310482889413834,30.03101517111063,0.2,3620,0.060170446,0.445654296875,0.9713951647281647,5.48553991317749,0.004421338517568074,0.2513733208179474
317,745472,451,150.0,-86.50679953,70,0.0003,-0.2678073074668646,29.56435610279441,0.2,3630,0.104242146,0.457666015625,0.9642265774309635,5.577916145324707,0.006054291032342007,0.2527053952217102
321,747520,452,150.0,-81.11728556999999,71,0.0003,-0.2730705875903368,9.001126328855753,0.2,3640,0.17197394,0.62724609375,0.9415896534919739,4.048023700714111,0.036013633471156936,0.2518395483493805
325,749568,452,150.0,-73.40623987,72,0.0003,-0.2748100467026234,37.40348038002848,0.2,3650,0.07229486,0.461376953125,0.9101694747805595,2.119757652282715,0.0035970862460089847,0.2532528340816498
329,751616,453,150.0,-73.05349981,73,0.0003,-0.2930232655256987,24.960079273581506,0.2,3660,0.535974,0.43447265625,0.9366988688707352,2.1598615646362305,0.00452943787604454,0.2528753876686096
334,753664,453,150.0,-71.8298334,74,0.0003,-0.2998201709240675,32.921843621134755,0.2,3670,0.0970667,0.426318359375,0.9202844128012657,9.18685245513916,-0.0009045804632478394,0.2539491057395935
339,755712,453,150.0,-76.66749507,75,0.0003,-0.33692741133272647,35.783836130052805,0.2,3680,0.17485479,0.468359375,0.9714105315506458,1.3992129564285278,0.026623323862440883,0.2553260624408722
343,757760,452,150.0,-75.20299012,76,0.0003,-0.36844245344400406,39.52908784747124,0.2,3690,0.08301981,0.362255859375,0.9490622133016586,3.816256523132324,0.0022545906060258856,0.2561129033565521
349,759808,451,150.0,-84.13203118999999,77,0.0003,-0.37393968291580676,43.68499821126461,0.2,3700,0.06991452,0.39033203125,0.9305405914783478,7.610610485076904,0.004064173043298069,0.2559181749820709
354,761856,451,150.0,-92.60337892999998,78,0.0003,-0.3927673051133752,34.9408141463995,0.2,3710,0.090736195,0.45703125,0.9646254032850266,8.190123558044434,0.0013493992504663766,0.25780460238456726
358,763904,451,150.0,-102.70083176,79,0.0003,-0.42854052428156136,27.485691333562137,0.2,3720,0.12641004,0.441748046875,0.9460475295782089,2.7951879501342773,0.010440920433757129,0.2583570182323456
363,765952,451,150.0,-103.66556591,80,0.0003,-0.44181272145360706,57.68851306438446,0.2,3730,0.11083352,0.400830078125,0.9224847853183746,12.230688095092773,-0.007553821944748051,0.2585171163082123
367,768000,450,150.0,-107.11741152,81,0.0003,-0.4521071555092931,56.327629601955415,0.2,3740,0.070942,0.377783203125,0.9025537967681885,6.404843330383301,-0.01168857325828867,0.2590610086917877
372,770048,450,150.0,-112.79397066000001,82,0.0003,-0.46232239454984664,37.14655103087425,0.2,3750,0.71956193,0.48662109375,0.9476218931376934,5.127678871154785,0.009487804702803259,0.2589361071586609
377,772096,450,150.0,-111.99055896,83,0.0003,-0.4363010490313172,43.54413425624371,0.2,3760,0.10887852,0.399462890625,0.9375143237411976,10.119215965270996,-0.003182274002028862,0.25704145431518555
381,774144,450,150.0,-106.58933454999999,84,0.0003,-0.4046262755990028,38.56067414581776,0.2,3770,0.24135816,0.485546875,0.9617786779999733,21.907522201538086,0.01586792743037222,0.2569817304611206
385,776192,450,150.0,-111.58179534000003,85,0.0003,-0.44090688806027173,29.155900935828686,0.2,3780,0.12735859,0.536767578125,0.9525925852358341,5.85153341293335,0.012679792421113233,0.25966981053352356
390,778240,451,150.0,-102.14361104000001,86,0.0003,-0.4766253625974059,73.6038867533207,0.2,3790,0.090656765,0.474072265625,0.9323788583278656,128.05462646484375,-0.0009407961719261948,0.2596589922904968
394,780288,451,150.0,-98.29256188000001,87,0.0003,-0.4621447777375579,31.700910666957498,0.2,3800,0.47917902,0.572216796875,0.9741381593048573,2.056220293045044,0.00493753844202729,0.25864177942276
399,782336,451,150.0,-89.57403323,88,0.0003,-0.4480113910511136,37.969506698846814,0.2,3810,0.11969408,0.50224609375,0.9380657076835632,5.814887523651123,0.0069025369120936375,0.25860247015953064
403,784384,451,150.0,-86.14788211999998,89,0.0003,-0.44374130219221114,17.76643787994981,0.2,3820,0.26126897,0.5783203125,0.943680427968502,1.6391886472702026,0.017943730712431716,0.2583470940589905
408,786432,451,150.0,-92.27007926999998,90,0.0003,-0.44875928070396187,86.10649519860745,0.2,3830,0.0605313,0.365966796875,0.8619854748249054,18.171794891357422,-0.013455631930264644,0.25886136293411255
412,788480,451,150.0,-84.00771368,91,0.0003,-0.44619874879717825,90.28469105064869,0.2,3840,0.047899254,0.319482421875,0.9201004579663277,96.23643493652344,-0.0025434215593122646,0.2579466700553894
416,790528,452,150.0,-84.93317618,92,0.0003,-0.43795917499810455,24.518962082639337,0.2,3850,0.7167633,0.62373046875,0.8927365019917488,4.032066345214844,0.024611559603363274,0.2582264244556427
421,792576,452,150.0,-85.98588427,93,0.0003,-0.4542396517470479,61.51422902494669,0.2,3860,0.065399244,0.40224609375,0.9070727452635765,4.753584861755371,-0.011955152860173257,0.2588931620121002
425,794624,452,150.0,-92.08886728000002,94,0.0003,-0.4686327686533332,32.43507627621293,0.2,3870,0.116271384,0.50244140625,0.8895984515547752,3.329854726791382,0.00478107701492263,0.25979700684547424
429,796672,452,150.0,-91.27712457999998,95,0.0003,-0.48637625444680455,25.86022158190608,0.2,3880,0.09812097,0.52890625,0.9613799788057804,5.393660545349121,0.015400393288291524,0.2603718936443329
433,798720,453,150.0,-84.7990512,96,0.0003,-0.48425278048962356,30.511035971716048,0.2,3890,0.12107967,0.4751953125,0.9410486109554768,16.517412185668945,0.0005765992595115676,0.2592199742794037
438,800768,452,150.0,-84.39896705,97,0.0003,-0.4742741361260414,7.206340633984655,0.2,3900,0.5756548,0.76650390625,0.35745036602020264,1.6373615264892578,0.053803732752567154,0.25983500480651855
443,802816,452,150.0,-85.49023276,98,0.0003,-0.47071653697639704,43.101878110319376,0.2,3910,0.104007795,0.44072265625,0.925029419362545,3.1560354232788086,0.016902558237779884,0.25878551602363586
